BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge_rescaled,GFABuildingNormalised,GFAParkingNormalised,GFAPerBuilding,GFAPerFloor,Electricity_ratio,Natural_gas_ratio,SteamUse_ratio
NonResidential,Residence Hall,DOWNTOWN,1.0,9.0,107572.0,76.0,5572503.0,254.87,95,1.0,0.0,107572.0,11952.444,0.44792,0.0,0.55208
NonResidential,Other,DOWNTOWN,1.0,15.0,230880.0,,62197176.0,433.6,55,1.0,0.0,230880.0,15392.0,1.0,0.0,0.0
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,76086.0,,3267564.0,101.41,35,1.0,0.0,76086.0,76086.0,0.47845,0.52155,0.0
NonResidential,Medical Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,190000.0,1.0,28731502.0,661.04,80,0.79474,0.20526,190000.0,38000.0,0.65244,0.34756,0.0
NonResidential,Hotel,DOWNTOWN,1.0,4.0,122309.0,8.0,25453690.0,1060.13,50,1.0,0.0,122309.0,30577.25,0.24839,0.75161,0.0
Campus,Other,DOWNTOWN,4.0,3.0,215476.0,,24017770.0,639.39,15,1.0,0.0,53869.0,71825.333,0.57411,0.42589,0.0
NonResidential,Hotel,DOWNTOWN,1.0,8.0,254273.0,29.0,26659244.0,780.84,5,0.84741,0.15259,254273.0,31784.125,0.51628,0.48372,0.0
Nonresidential COS,Other,DOWNTOWN,1.0,2.0,69400.0,,14833476.0,301.76,30,1.0,0.0,69400.0,34700.0,0.71018,0.28982,0.0
NonResidential,Mixed Use Property,DOWNTOWN,1.0,1.0,62900.0,,10394330.0,377.27,110,1.0,0.0,62900.0,62900.0,0.36442,0.63558,0.0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,56500.0,98.0,1380293.625,44.22,95,1.0,0.0,56500.0,14125.0,0.643,0.0,0.357
NonResidential,Warehouse,GREATER DUWAMISH,1.0,4.0,203504.0,72.0,3785282.5,26.39,0,1.0,0.0,203504.0,50876.0,1.0,0.0,0.0
NonResidential,Large Office,DOWNTOWN,0.0,3.0,100734.0,20.0,9788717.0,68.24,40,0.73464,0.26536,46261.5,33578.0,1.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,77662.0,57.0,5007401.0,68.19,30,0.76174,0.23826,77662.0,19415.5,0.85595,0.14405,0.0
NonResidential,Large Office,DOWNTOWN,1.0,12.0,234000.0,39.0,18661606.0,149.27,30,0.90688,0.09312,234000.0,19500.0,0.97774,0.02226,0.0
NonResidential,Large Office,DOWNTOWN,1.0,25.0,369996.0,74.0,24755086.0,172.58,20,1.0,0.0,369996.0,14799.84,1.0,0.0,0.0
NonResidential,Retail Store,DOWNTOWN,1.0,10.0,693450.0,93.0,40062888.0,398.19,85,1.0,0.0,693450.0,69345.0,0.93596,0.06351,0.00053
NonResidential,Large Office,DOWNTOWN,1.0,33.0,791396.0,89.0,40847752.0,313.3,35,1.0,0.0,791396.0,23981.697,0.9998,0.01318,0.0
NonResidential,Large Office,DOWNTOWN,1.0,23.0,747747.0,90.0,30985420.0,359.11,10,0.72574,0.27426,747747.0,32510.739,0.89991,0.10009,0.0
